"Old URL","Destination","Status","Intent match"
"/ru/services/generalnaya-uborka-kvartiry","/generalne-prybyrannya-kvartyry-cherkasy","301","Релевантний canonical"
"/pidtrymuyuche-prybyrannya","/pidtrymuyuche-prybyrannya-kvartyr-cherkasy","301","Релевантний canonical"
"/uk/services/pidtrymuyuche-prybyrannya","/pidtrymuyuche-prybyrannya-kvartyr-cherkasy","301","Релевантний canonical"
"/uk/services/pidtrymuyuche-prybyrannya-kvartyr","/pidtrymuyuche-prybyrannya-kvartyr-cherkasy","301","Релевантний canonical"
"/uk/services/pidtrymuyuche-prybyrannya-kvartyry","/pidtrymuyuche-prybyrannya-kvartyr-cherkasy","301","Релевантний canonical"
"/ru/services/podderzhivayushchaya-uborka","/pidtrymuyuche-prybyrannya-kvartyr-cherkasy","301","Релевантний canonical"
"/ru/services/podderzhivayushchaya-uborka-kvartiry","/pidtrymuyuche-prybyrannya-kvartyr-cherkasy","301","Релевантний canonical"
"/prybyrannya-pislya-remontu","/prybyrannya-pislya-remontu-cherkasy","301","Релевантний canonical"
"/uk/services/prybyrannya-pislya-remontu","/prybyrannya-pislya-remontu-cherkasy","301","Релевантний canonical"
"/uk/services/prybyrannya-kvartyr-pislya-remontu","/prybyrannya-pislya-remontu-cherkasy","301","Релевантний canonical"
"/uk/services/prybyrannya-pislya-budivnytstva","/prybyrannya-pislya-remontu-cherkasy","301","Релевантний canonical"
"/uk/services/klining-pislya-budivnytstva","/prybyrannya-pislya-remontu-cherkasy","301","Релевантний canonical"
"/ru/services/uborka-posle-remonta","/prybyrannya-pislya-remontu-cherkasy","301","Релевантний canonical"
"/ru/services/uborka-kvartir-posle-remonta","/prybyrannya-pislya-remontu-cherkasy","301","Релевантний canonical"
"/ru/services/klining-posle-remonta","/prybyrannya-pislya-remontu-cherkasy","301","Релевантний canonical"
"/myttya-fasadiv","/myttya-fasadiv-cherkasy","301","Релевантний canonical"
"/uk/services/myttya-fasadiv","/myttya-fasadiv-cherkasy","301","Релевантний canonical"
"/uk/services/myttya-vikon-vitryn-ta-fasadiv","/myttya-fasadiv-cherkasy","301","Релевантний canonical"
"/uk/services/myttya-vikon-vitrin-ta-fasadiv","/myttya-fasadiv-cherkasy","301","Релевантний canonical"
"/uk/services/myttya-vikon-vytryn-ta-fasadiv","/myttya-fasadiv-cherkasy","301","Релевантний canonical"
"/ru/services/mojka-okon-vitrin-i-fasadov","/myttya-fasadiv-cherkasy","301","Релевантний canonical"
"/prybyrannya-pislya-trupu-cherkasy","/dezinfektsiya-prymishchen-cherkasy","301","Релевантний canonical"
"/uk/services/prybyrannya-pislya-trupu","/dezinfektsiya-prymishchen-cherkasy","301","Релевантний canonical"
"/uk/services/dezinfektsiya-pislya-trupu","/dezinfektsiya-prymishchen-cherkasy","301","Релевантний canonical"
"/ru/services/uborka-posle-trupa","/dezinfektsiya-prymishchen-cherkasy","301","Релевантний canonical"
"/ru/services/dezinfekciya-posle-trupa","/dezinfektsiya-prymishchen-cherkasy","301","Релевантний canonical"
"/byudzhetne-prybyrannya-cherkasy","/prybyrannya-kvartyr-cherkasy","301","Релевантний canonical"
"/uk/services/byudzhetne-prybyrannya","/prybyrannya-kvartyr-cherkasy","301","Релевантний canonical"
"/prybyrannya-magazyniv-cherkasy","/prybyrannya-mahazyniv-supermarketiv-cherkasy","301","Релевантний canonical"
"/prybyrannya-supermarketiv-cherkasy","/prybyrannya-mahazyniv-supermarketiv-cherkasy","301","Релевантний canonical"
"/prybyrannya-trts-supermarketiv-cherkasy","/prybyrannya-mahazyniv-supermarketiv-cherkasy","301","Релевантний canonical"
"/uk/services/prybyrannya-torgovyh-centriv","/prybyrannya-mahazyniv-supermarketiv-cherkasy","301","Релевантний canonical"
"/uk/services/prybyrannya-torgovykh-tsentriv","/prybyrannya-mahazyniv-supermarketiv-cherkasy","301","Релевантний canonical"
"/uk/services/obslugovuvannya-ta-klining-promislovih-i-virobnichih-primishhen","/prybyrannya-vyrobnychykh-prymishchen-cherkasy","301","Релевантний canonical"
"/ru/services/obsluzhivanie-i-klining-promyshlennyh-i-proizvodstvennyh-pomeshchenij","/prybyrannya-vyrobnychykh-prymishchen-cherkasy","301","Релевантний canonical"
"/uk/services/prybyrannya-skladiv","/prybyrannya-skladiv-cherkasy","301","Релевантний canonical"
"/ru/services/uborka-skladov","/prybyrannya-skladiv-cherkasy","301","Релевантний canonical"
"/uk/services/prybyrannya-medychnykh-tsentriv","/prybyrannya-medychnykh-tsentriv-cherkasy","301","Релевантний canonical"
"/ru/services/uborka-meditsinskih-centrov","/prybyrannya-medychnykh-tsentriv-cherkasy","301","Релевантний canonical"
"/uk/services/himchystka-stiltsiv","/himchystka-stiltsiv-cherkasy","301","Релевантний canonical"
"/ru/services/himchistka-stulev","/himchystka-stiltsiv-cherkasy","301","Релевантний canonical"
"/uk/services/himchystka-krisel","/himchystka-krisel-cherkasy","301","Релевантний canonical"
"/ru/services/himchistka-kresel","/himchystka-krisel-cherkasy","301","Релевантний canonical"
"/uk/services/himchystka-kovrolinu","/himchystka-kovrolinu-cherkasy","301","Релевантний canonical"
"/ru/services/himchistka-kovrolina","/himchystka-kovrolinu-cherkasy","301","Релевантний canonical"
"/uk/video-gallery-uk","/nashi-roboty","301","Релевантний canonical"
"/ru/video-gallery-ru","/nashi-roboty","301","Релевантний canonical"
"/prybyrannya-kotedzhiv-cherkasy","/prybyrannya-budynkiv-cherkasy","301","Релевантний canonical"
"/ru/services/uborka-kottedzhej","/prybyrannya-budynkiv-cherkasy","301","Релевантний canonical"
"/ru/services/uborka-kottedzhey","/prybyrannya-budynkiv-cherkasy","301","Релевантний canonical"
"/uk/contact-uk","/kontakty","301","Релевантний canonical"
"/ru/contact-ru","/kontakty","301","Релевантний canonical"
"/uk/contact","/kontakty","301","Релевантний canonical"
"/ru/contact","/kontakty","301","Релевантний canonical"
"/uk/contacts","/kontakty","301","Релевантний canonical"
"/ru/contacts","/kontakty","301","Релевантний canonical"
"/uk/about","/pro-nas","301","Релевантний canonical"
"/ru/about","/pro-nas","301","Релевантний canonical"
"/uk/about-us-uk","/pro-nas","301","Релевантний canonical"
"/ru/about-us-ru","/pro-nas","301","Релевантний canonical"
"/uk/prices","/prices","301","Релевантний canonical"
"/ru/prices","/prices","301","Релевантний canonical"
"/uk/gallery-uk","/nashi-roboty","301","Релевантний canonical"
"/ru/gallery-ru","/nashi-roboty","301","Релевантний canonical"
"/uk/himchystka-dyvana","/himchystka-dyvana-cherkasy","301","Релевантний canonical"
"/ru/himchystka-dyvana","/himchystka-dyvana-cherkasy","301","Релевантний canonical"
"/uk/services/himchystka-dyvana","/himchystka-dyvana-cherkasy","301","Релевантний canonical"
"/ru/services/himchystka-dyvana","/himchystka-dyvana-cherkasy","301","Релевантний canonical"
"/uk/himchystka-matratsa","/himchystka-matratsa-cherkasy","301","Релевантний canonical"
"/ru/himchystka-matratsa","/himchystka-matratsa-cherkasy","301","Релевантний canonical"
"/uk/services/himchystka-matratsa","/himchystka-matratsa-cherkasy","301","Релевантний canonical"
"/ru/services/himchystka-matratsa","/himchystka-matratsa-cherkasy","301","Релевантний canonical"
"/uk/prybyrannya-ofisiv","/prybyrannya-ofisiv-cherkasy","301","Релевантний canonical"
"/ru/prybyrannya-ofisiv","/prybyrannya-ofisiv-cherkasy","301","Релевантний canonical"
"/uk/services/prybyrannya-ofisiv","/prybyrannya-ofisiv-cherkasy","301","Релевантний canonical"
"/ru/services/prybyrannya-ofisiv","/prybyrannya-ofisiv-cherkasy","301","Релевантний canonical"
"/uk/services/prybyrannya-pislya-potopu","/prybyrannya-pislya-potopu-cherkasy","301","Релевантний canonical"
"/ru/services/prybyrannya-pislya-potopu","/prybyrannya-pislya-potopu-cherkasy","301","Релевантний canonical"
"/uk/services/prybyrannya-prylegloyi-terytoriyi","/prybyrannya-prylegloyi-terytoriyi-cherkasy","301","Релевантний canonical"
"/ru/services/prybyrannya-prylegloyi-terytoriyi","/prybyrannya-prylegloyi-terytoriyi-cherkasy","301","Релевантний canonical"
"/uk/services/prybyrannya-budynkiv","/prybyrannya-budynkiv-cherkasy","301","Релевантний canonical"
"/ru/services/prybyrannya-budynkiv","/prybyrannya-budynkiv-cherkasy","301","Релевантний canonical"
"/ru/services/himchistka-divana","/himchystka-dyvana-cherkasy","301","Релевантний canonical"
